frame_time_s,f0_hz
0.0,
0.0929,
0.1858,350.237
0.2786,352.266
0.3715,409.35
0.4644,207.053
0.5573,194.306
0.6502,190.968
0.743,196.564
0.8359,202.324
0.9288,198.848
1.0217,204.675
1.1146,194.306
1.2074,197.703
1.3003,190.968
1.3932,360.5
1.4861,131.191
1.579,173.107
1.6718,178.18
1.7647,180.25
1.8576,183.401
1.9505,175.119
2.0434,181.294
2.1362,176.133
2.2291,176.133
2.322,176.133
2.4149,172.11
2.5078,176.133
2.6006,175.119
2.6935,183.401
2.7864,207.053
2.8793,194.306
2.9722,192.075
3.065,87.559
3.1579,77.557
3.2508,51.763
3.3437,136.604
3.4366,138.992
3.5294,138.992
3.6223,149.831
3.7152,88.067
3.8081,87.559
3.901,83.605
3.9938,82.645
4.0867,65.975
4.1796,82.645
4.2725,82.645
4.3654,82.645
4.4582,175.119
4.5511,174.11
4.644,82.169
4.7369,70.303
4.8297,68.302
4.9226,131.191
5.0155,130.435
5.1084,131.191
5.2013,131.191
5.2941,131.191
5.387,130.435
5.4799,116.878
5.5728,115.535
5.6657,202.324
5.7585,183.401
5.8514,183.401
5.9443,81.225
6.0372,65.218
6.1301,87.559
6.2229,178.18
6.3158,178.18
6.4087,87.559
6.5016,88.067
6.5945,177.154
6.6873,177.154
6.7802,184.463
6.8731,174.11
6.966,175.119
7.0589,177.154
7.1517,174.11
7.2446,173.107
7.3375,348.22
7.4304,197.703
7.5233,90.647
7.6161,69.898
7.709,69.898
7.8019,136.604
7.8948,138.191
7.9877,70.303
8.0805,69.898
8.1734,188.775
8.2663,175.119
8.3592,88.067
8.4521,87.559
8.5449,65.975
8.6378,65.595
8.7307,65.595
8.8236,66.358
8.9165,65.975
9.0093,65.975
9.1022,65.975
9.1951,65.595
9.288,65.595
9.3809,204.675
9.4737,205.86
9.5666,202.324
9.6595,69.496
9.7524,205.86
9.8453,68.698
9.9381,51.763
10.031,87.559
10.1239,114.208
10.2168,52.063
10.3097,52.063
10.4025,87.055
10.4954,205.86
10.5883,175.119
10.6812,177.154
10.7741,87.559
10.8669,195.432
10.9598,91.7
11.0527,96.594
11.1456,131.191
11.2385,124.545
11.3313,273.208
11.4242,134.257
11.5171,131.191
11.61,131.191
11.7029,235.11
11.7957,247.655
11.8886,250.533
11.9815,
12.0744,56.775
12.1673,69.898
12.2601,69.898
12.353,69.898
12.4459,
12.5388,70.303
12.6317,70.303
12.7245,131.191
12.8174,138.191
12.9103,88.067
13.0032,88.577
13.0961,138.191
13.1889,131.951
13.2818,65.975
13.3747,65.975
13.4676,66.358
13.5605,65.975
13.6533,65.975
13.7462,65.595
13.8391,65.595
13.932,65.975
14.0248,51.465
14.1177,102.93
14.2106,196.564
14.3035,205.86
14.3964,202.324
14.4892,208.252
14.5821,204.675
14.675,85.56
14.7679,73.628
14.8608,69.496
14.9536,51.169
15.0465,131.191
15.1394,250.533
15.2323,176.133
15.3252,179.212
15.418,86.554
15.5109,203.496
15.6038,93.303
15.6967,120.303
15.7896,138.191
15.8824,
15.9753,
16.0682,
16.1611,
16.254,
16.3468,
16.4397,
16.5326,
16.6255,
16.7184,
16.8112,
16.9041,225.793
16.997,236.472
17.0899,232.409
17.1828,232.409
17.2756,233.755
17.3685,213.12
17.4614,207.053
17.5543,197.703
17.6472,190.968
17.74,205.86
17.8329,195.432
17.9258,184.463
18.0187,196.564
18.1116,196.564
18.2044,200.0
18.2973,233.755
18.3902,231.071
18.4831,208.252
18.576,194.306
18.6688,192.075
18.7617,179.212
18.8546,215.596
18.9475,352.266
19.0404,400.0
19.1332,197.703
19.2261,381.937
19.319,384.149
19.4119,390.864
19.5048,356.359
19.5976,
19.6905,193.187
19.7834,208.252
19.8763,207.053
19.9692,198.848
20.062,207.053
20.1549,204.675
20.2478,195.432
20.3407,195.432
20.4336,197.703
20.5264,196.564
20.6193,197.703
20.7122,195.432
20.8051,214.355
20.898,229.74
20.9908,215.596
21.0837,205.86
21.1766,138.992
21.2695,69.496
21.3624,66.358
21.4552,129.684
21.5481,53.28
21.641,65.595
21.7339,122.405
21.8268,128.937
21.9196,87.055
22.0125,131.191
22.1054,87.055
22.1983,167.211
22.2912,173.107
22.384,130.435
22.4769,189.868
22.5698,204.675
22.6627,223.199
22.7556,201.159
22.8484,190.968
22.9413,91.7
23.0342,190.968
23.1271,71.12
23.22,132.715
23.3128,131.191
23.4057,88.577
23.4986,87.055
23.5915,
23.6843,
23.7772,51.763
23.8701,66.358
23.963,87.559
24.0559,239.219
24.1487,86.554
24.2416,87.559
24.3345,88.067
24.4274,87.559
24.5203,173.107
24.6131,176.133
24.706,86.554
24.7989,188.775
24.8918,194.306
24.9847,88.577
25.0775,196.564
25.1704,194.306
25.2633,188.775
25.3562,183.401
25.4491,68.698
25.5419,66.742
25.6348,
25.7277,96.594
25.8206,260.87
25.9135,260.87
26.0063,262.382
26.0992,221.914
26.1921,232.409
26.285,232.409
26.3779,233.755
26.4707,232.409
26.5636,233.755
26.6565,235.11
26.7494,210.672
26.8423,159.66
26.9351,208.252
27.028,208.252
27.1209,196.564
27.2138,195.432
27.3067,196.564
27.3995,196.564
27.4924,195.432
27.5853,196.564
27.6782,193.187
27.7711,208.252
27.8639,196.564
27.9568,195.432
28.0497,183.401
28.1426,204.675
28.2355,197.703
28.3283,89.09
28.4212,64.469
28.5141,194.306
28.607,129.684
28.6999,134.257
28.7927,128.937
28.8856,146.409
28.9785,193.187
29.0714,196.564
29.1643,192.075
29.2571,194.306
29.35,207.053
29.4429,193.187
29.5358,197.703
29.6287,207.053
29.7215,195.432
29.8144,196.564
29.9073,196.564
30.0002,200.0
30.0931,139.797
30.1859,198.848
30.2788,195.432
30.3717,136.604
30.4646,294.513
30.5575,317.48
30.6503,
30.7432,
30.8361,227.101
30.929,223.199
31.0219,249.09
31.1147,87.055
31.2076,188.775
