frame_time_s,rms,spectral_centroid_hz,zcr,f0_hz,voiced,jitter,shimmer,hnr
0.0,0.0,5146.19,0.0,408.333,0,,,
0.0232,0.0,4937.21,0.0,408.333,0,,,
0.0464,3.7e-05,2868.66,0.056152,408.333,0,,,
0.0697,0.008453,2644.49,0.102051,408.333,0,,,
0.0929,0.01929,2504.19,0.12793,338.885,0,,,
0.1161,0.028689,2206.64,0.149902,283.106,0,,,
0.1393,0.033006,2128.47,0.119141,177.326,0,,,
0.1625,0.033208,2419.24,0.121094,176.122,0,,,
0.1858,0.02838,2873.82,0.165527,171.984,0,,,
0.209,0.018831,3636.6,0.143066,171.013,0,,,
0.2322,0.009398,4232.99,0.118164,167.079,0,,,
0.2554,0.001889,2853.87,0.070312,262.304,0,,,
0.2786,0.00047,708.05,0.0,64.853,0,,,
0.3019,0.000359,789.92,0.001953,64.853,0,,,
0.3251,0.00026,1071.83,0.001953,70.924,0,,,
0.3483,0.0002,1225.59,0.004395,408.333,0,,,
0.3715,0.000131,1573.96,0.031738,64.853,0,,,
0.3947,7.3e-05,1939.43,0.070312,375.313,0,,,
0.418,0.007306,2161.75,0.107422,179.29,0,,,
0.4412,0.015845,2536.37,0.131836,408.333,0,,,
0.4644,0.023585,2556.8,0.13916,170.371,0,,,
0.4876,0.025463,2641.75,0.134277,187.483,0,,,
0.5108,0.02497,2718.47,0.153809,178.895,0,,,
0.5341,0.020635,2984.0,0.187012,174.237,0,,,
0.5573,0.010983,3327.31,0.163086,173.146,0,,,
0.5805,0.005341,4024.83,0.141113,175.965,0,,,
0.6037,0.000116,1330.02,0.113281,65.432,0,,,
0.6269,0.000103,1680.62,0.055664,65.045,0,,,
0.6502,6.4e-05,2179.38,0.046387,64.853,0,,,
0.6734,4.3e-05,2328.53,0.033691,64.853,0,,,
0.6966,4.2e-05,2519.52,0.006836,408.333,0,,,
0.7198,4e-05,2510.18,0.006836,408.333,0,,,
0.743,3.6e-05,2503.53,0.011719,408.333,0,,,
0.7663,3.4e-05,2496.21,0.034668,408.333,0,,,
0.7895,0.009564,2496.66,0.073242,408.333,0,,,
0.8127,0.018723,2612.21,0.095703,65.573,0,,,
0.8359,0.024647,2553.68,0.129395,189.39,0,,,
0.8591,0.026205,2654.34,0.13916,181.042,0,,,
0.8824,0.024482,2780.95,0.194824,177.598,0,,,
0.9056,0.018447,3177.7,0.189941,175.729,0,,,
0.9288,0.009129,3501.89,0.213379,174.157,0,,,
0.952,0.002034,4251.64,0.26123,357.543,0,,,
0.9752,2.1e-05,2995.79,0.244141,408.333,0,,,
0.9985,1.1e-05,3163.45,0.302734,408.333,0,,,
1.0217,0.000799,2957.76,0.288086,408.333,0,,,
1.0449,0.008961,2819.67,0.24707,408.333,0,,,
1.0681,0.023754,2707.12,0.191406,200.5,0,,,
1.0913,0.029287,2399.68,0.135742,284.24,0,,,
1.1146,0.033497,2320.83,0.115234,176.566,0,,,
1.1378,0.033267,2666.48,0.161133,174.979,0,,,
1.161,0.025085,3335.35,0.267578,170.444,0,,,
1.1842,0.018324,4267.82,0.314453,169.772,0,,,
1.2074,0.008415,4955.22,0.369629,164.671,0,,,
1.2307,0.002557,5343.95,0.353516,193.167,0,,,
1.2539,0.002462,2828.95,0.265625,408.333,0,,,
1.2771,0.010544,2389.56,0.234863,408.333,0,,,
1.3003,0.01975,2498.09,0.183594,146.779,0,,,
1.3235,0.024827,2511.74,0.143555,189.109,0,,,
1.3468,0.02602,2639.08,0.146484,181.187,0,,,
1.37,0.023917,2779.31,0.151367,175.761,0,,,
1.3932,0.01712,3152.47,0.123047,175.381,0,,,
1.4164,0.008171,3563.57,0.112305,174.6,0,,,
1.4396,0.000276,3189.09,0.119629,342.213,0,,,
1.4629,2.6e-05,2785.39,0.155762,408.333,0,,,
1.4861,1.5e-05,3024.06,0.23877,408.333,0,,,
1.5093,0.00455,1765.37,0.262207,408.333,0,,,
1.5325,0.012393,2472.68,0.244629,408.333,0,,,
1.5557,0.020467,2555.58,0.192383,171.584,0,,,
1.579,0.024747,2565.45,0.13916,190.878,0,,,
1.6022,0.025475,2680.11,0.144043,180.161,0,,,
1.6254,0.022718,2866.47,0.173828,174.928,0,,,
1.6486,0.015838,3249.75,0.150391,175.273,0,,,
1.6718,0.00757,3732.72,0.147461,174.883,0,,,
1.6951,0.000252,3771.56,0.171387,381.864,0,,,
1.7183,2.5e-05,2950.78,0.171875,408.333,0,,,
1.7415,1.4e-05,3081.53,0.253906,408.333,0,,,
1.7647,9e-06,2931.74,0.310059,408.333,0,,,
1.7879,8e-06,2807.84,0.319336,408.333,0,,,
1.8112,7e-06,2956.8,0.333496,408.333,0,,,
1.8344,7e-06,2920.48,0.321289,408.333,0,,,
1.8576,2.3e-05,3094.95,0.287598,408.333,0,,,
1.8808,0.008145,1769.01,0.23877,408.333,0,,,
1.904,0.018469,1754.18,0.172852,408.333,0,,,
1.9273,0.02579,1710.59,0.12207,126.567,0,,,
1.9505,0.027892,1795.12,0.097656,127.669,0,,,
1.9737,0.027506,1981.45,0.104004,129.463,0,,,
1.9969,0.022627,2254.28,0.128418,78.913,0,,,
2.0201,0.018783,2602.9,0.141602,389.856,0,,,
2.0434,0.027428,2641.08,0.135254,165.439,0,,,
2.0666,0.031715,2322.07,0.121582,303.077,0,,,
2.0898,0.033253,2412.16,0.112793,175.684,0,,,
2.113,0.031065,2755.75,0.187012,174.326,0,,,
2.1362,0.021276,3461.08,0.257812,170.195,0,,,
2.1595,0.012418,4248.23,0.330078,169.366,0,,,
2.1827,0.004911,5347.58,0.382324,172.441,0,,,
2.2059,4.4e-05,3585.27,0.355957,408.333,0,,,
2.2291,6e-06,3140.58,0.349121,408.333,0,,,
2.2523,6e-06,3056.72,0.344238,408.333,0,,,
2.2756,6e-06,3155.83,0.345703,408.333,0,,,
2.2988,7e-06,3142.5,0.333984,408.333,0,,,
2.322,1.1e-05,3136.18,0.317871,408.333,0,,,
